id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36098300,Serviced apartment in Antwerpen · ★4.67 · Studio · 1 bed · 1 bath,270964935,Liselore,,Theaterbuurt-Meir,51.21462,4.40324,Entire home/apt,153,1,55,2023-10-28,1.01,17,356,6,
36099404,Rental unit in Antwerpen · ★4.35 · 1 bedroom · 4 beds · 1.5 baths,165436938,Ella,,Theaterbuurt-Meir,51.21898,4.40904,Entire home/apt,71,1,110,2023-12-11,2.02,134,319,7,
36099494,Serviced apartment in Antwerp · ★4.68 · 1 bedroom · 2 beds · 1 bath,270964935,Liselore,,Theaterbuurt-Meir,51.21462,4.40324,Entire home/apt,198,1,25,2023-04-23,0.46,17,354,1,
36106533,Townhouse in Antwerpen · ★4.83 · 2 bedrooms · 6 beds · 1.5 baths,271595247,Jean And Karolien,,Borgerhout Intra Muros Noord,51.22138,4.44036,Entire home/apt,75,1,171,2023-12-22,3.18,1,285,39,
36161820,Rental unit in Antwerpen · ★4.93 · Studio · 1 bed · 1 bath,267361556,Alona,,Deurne Noord,51.23163,4.46325,Entire home/apt,69,15,14,2022-11-05,0.26,1,22,0,
36220043,Condo in Antwerpen · ★4.98 · 1 bedroom · 1 bed · 1 bath,208300147,Sjack Gert,,Amandus - Atheneum,51.22066879272461,4.421649932861328,Entire home/apt,75,2,326,2023-12-25,5.98,2,55,78,
36278065,Home in Antwerpen · ★4.67 · 2 bedrooms · 2 beds · 1 shared bath,232962937,Julie,,Wilrijk Centrum,51.16348,4.38687,Private room,250,1,3,2022-06-06,0.06,3,19,0,
36303786,Serviced apartment in Antwerpen · ★4.70 · 1 bedroom · 2 beds · 1 bath,270964935,Liselore,,Theaterbuurt-Meir,51.21462,4.40324,Entire home/apt,204,1,27,2023-12-12,0.51,17,356,8,
36422080,Place to stay in Antwerpen · ★4.48 · 1 bedroom · 2 beds · 1 private bath,15780894,Simon,,Universiteitsbuurt,51.22302,4.40703,Private room,61,1,317,2023-12-09,5.88,10,0,101,
36464525,Townhouse in Antwerpen · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,274159140,Linda,,Centraal Station,51.21299,4.41895,Private room,83,2,63,2023-12-10,1.17,1,352,13,
36494577,Condo in Antwerpen · ★4.69 · 2 bedrooms · 4 beds · 1 bath,157525654,Michèle,,Harmonie,51.2062,4.40984,Entire home/apt,106,2,110,2023-12-10,2.10,1,0,38,
36503455,Townhouse in Antwerpen · ★4.41 · 1 bedroom · 2 beds · 1.5 baths,14494301,Jan,,Deurne Noord,51.23424,4.44726,Entire home/apt,140,1,87,2023-12-10,1.63,1,355,17,
36519761,Condo in Antwerpen · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,4664027,Zuzanna,,Harmonie,51.2019,4.40623,Private room,,2,14,2019-09-01,0.26,2,0,0,
36520988,Condo in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1 bath,4664027,Zuzanna,,Harmonie,51.20227,4.406,Entire home/apt,,3,23,2023-05-29,0.43,2,0,5,
36595448,Rental unit in Antwerpen · ★4.80 · Studio · 1 bed · 1.5 baths,35684494,Caroline,,Hoboken - Noord,51.1804,4.35916,Private room,69,5,10,2023-05-25,0.26,1,260,2,
36612160,Rental unit in Antwerpen · 1 bedroom · 2 beds · 1 bath,16824272,John,,Groenenhoek,51.20428,4.44329,Entire home/apt,40,90,0,,,1,90,0,
36637087,Rental unit in Antwerpen · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,1456876,Carmina,,Amandus - Atheneum,51.22033,4.42425,Entire home/apt,95,3,8,2022-04-18,0.15,1,0,0,
36667763,Serviced apartment in Antwerpen · ★4.81 · Studio · 1 bed · 1 bath,270964935,Liselore,,Theaterbuurt-Meir,51.21346,4.40891,Entire home/apt,160,1,62,2022-10-02,1.15,17,357,0,
36671122,Home in Antwerpen · ★4.83 · 1 bedroom · 2 beds · 1.5 baths,96769191,Vanessa,,Deurne Noord,51.22719,4.45111,Private room,85,1,126,2023-12-23,2.33,1,333,46,
36862676,Rental unit in Antwerpen · ★4.82 · 1 bedroom · 2 beds · 1 bath,43247005,Rebecca,,Historisch Centrum,51.2201,4.40018,Entire home/apt,126,1,60,2023-12-17,1.11,14,318,14,
36870874,Rental unit in Antwerpen · ★4.57 · 2 bedrooms · 5 beds · 1 bath,5687914,Irina,,Historisch Centrum,51.22084,4.39805,Entire home/apt,81,2,110,2023-12-10,2.04,2,351,35,
36900123,Condo in Antwerpen · ★4.83 · 1 bedroom · 1 bed · 1 bath,16081550,Anna Rosa,,Amandus - Atheneum,51.21921,4.42448,Entire home/apt,85,2,18,2023-09-12,0.68,1,10,4,
36904085,Rental unit in Antwerpen · 1 bedroom · 1 bed · 1 bath,84482862,Philippe,,Zuid,51.2083,4.39798,Entire home/apt,,1,2,2019-09-29,0.04,1,0,0,
36941463,Townhouse in Antwerpen · ★4.54 · 1 bedroom · 1 bed · 1.5 baths,9686695,Caroline,,Eilandje,51.22968,4.40685,Private room,95,3,13,2023-11-19,0.24,1,210,2,
36953202,Townhouse in Antwerp · Studio · 1 bed · 1.5 baths,271949304,Behnaz,,Groenenhoek,51.1924,4.44133,Entire home/apt,140,3,1,2020-01-02,0.02,1,0,0,
36963744,Rental unit in Antwerpen · ★4.56 · Studio · 1 bed · 1 bath,277645495,Daily,,Historisch Centrum,51.22194,4.40089,Entire home/apt,137,1,39,2023-08-29,0.90,4,71,1,
36964013,Loft in Antwerpen · ★4.42 · 2 bedrooms · 3 beds · 1 bath,277645495,Daily,,Historisch Centrum,51.2196,4.4001,Entire home/apt,149,1,57,2023-10-03,1.37,4,63,6,
